"folder"	"A2"	"B2"	"Z"	"o"	"h2"	"cf"	"cm"	"dsm"	"df"	"dm"	"alpha"	"recomb"	"recomb"	"a"	"b"	"v"	"gen"	"printgen"	"range1"	"range2"	"inc1"	"inc2"	"pert"	"pertamt"	"pertgen"	"Zoff"	"dA2"	"sfert"
1101110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1101111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1110000	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1110001	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1110010	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1110011	0.99	0.01	3	1	1	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1110100	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1110101	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1110110	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1110111	0.99	0.01	3	1	1	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1111000	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1111001	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1111010	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1111011	0.99	0.01	3	1	1	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1111100	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1111101	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1111110	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1111111	0.99	0.01	3	1	1	0	0.05	0.01	0.15	0.15	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	1	0	0
1200000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1200001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1200010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1200011	0.99	0.01	3	1	0.5	0	0.01	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1200100	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1200101	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1200110	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1200111	0.99	0.01	3	1	0.5	0	0.05	0.01	0.1	0.1	0	0.5	0.5	0.1	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1201000	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1201001	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.09	0.0007	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
1201010	0.99	0.01	3	1	0.5	0	0.01	0.01	0.15	0.15	0	0.5	0.5	0.1	7E-05	0.3	100000	5000	0.1	4	10	10	1	0.001	10000	2	0	0
